${tcid};${desc};${data_api};${data_query}
TC002;Invalid single insertion without birthday;http://localhost:8080/calculator/insert;{ "gender": "m", "name": "John Smith", "natid": "100000001", "salary": "4000", "tax": "100" }
TC003;Invalid single insertion without gender;http://localhost:8080/calculator/insert;{ "birthday": "01012002", "name": "John Smith", "natid": "100000001", "salary": "4000", "tax": "100" }
TC004;Invalid single insertion without name;http://localhost:8080/calculator/insert;{ "birthday": "01012002", "gender": "m", "natid": "100000001", "salary": "4000", "tax": "100" }
TC005;Invalid single insertion without natid;http://localhost:8080/calculator/insert;{ "birthday": "01012002", "gender": "m", "name": "John Smith", "salary": "4000", "tax": "100" }
TC006;Invalid single insertion without salary;http://localhost:8080/calculator/insert;{ "birthday": "01012002", "gender": "m", "name": "John Smith", "natid": "100000001", "tax": "100" }
TC007;Invalid single insertion without tax;http://localhost:8080/calculator/insert;{ "birthday": "01012002", "gender": "m", "name": "John Smith", "natid": "100000001", "salary": "4000" }
TC008;Invalid single insertion with invalid date;http://localhost:8080/calculator/insert;{ "birthday": "01 Jan 2002", "gender": "m", "name": "John Smith", "natid": "100000001", "salary": "4000", "tax": "100" }
TC010;Invalid multiple insertion without birthday;http://localhost:8080/calculator/insertMultiple;[{ "gender": "m", "name": "John Smith", "natid": "100000001", "salary": "4000", "tax": "100" },{ "birthday": "01011985", "gender": "f", "name": "Jane Joe", "natid": "200000002", "salary": "4500", "tax": "200" },{ "birthday": "01011970", "gender": "m", "name": "Mary Meh", "natid": "300000003", "salary": "2000", "tax": "50" }]
TC011;Invalid multiple insertion without gender;http://localhost:8080/calculator/insertMultiple;[{ "birthday": "01012002", "name": "John Smith", "natid": "100000001", "salary": "4000", "tax": "100" },{ "birthday": "01011985", "gender": "f", "name": "Jane Joe", "natid": "200000002", "salary": "4500", "tax": "200" },{ "birthday": "01011970", "gender": "m", "name": "Mary Meh", "natid": "300000003", "salary": "2000", "tax": "50" }]
TC012;Invalid multiple insertion without name;http://localhost:8080/calculator/insertMultiple;[{ "birthday": "01012002", "gender": "m", "natid": "100000001", "salary": "4000", "tax": "100" },{ "birthday": "01011985", "gender": "f", "name": "Jane Joe", "natid": "200000002", "salary": "4500", "tax": "200" },{ "birthday": "01011970", "gender": "m", "name": "Mary Meh", "natid": "300000003", "salary": "2000", "tax": "50" }]
TC013;Invalid multiple insertion without natid;http://localhost:8080/calculator/insertMultiple;[{ "birthday": "01012002", "gender": "m", "name": "John Smith", "salary": "4000", "tax": "100" },{ "birthday": "01011985", "gender": "f", "name": "Jane Joe", "natid": "200000002", "salary": "4500", "tax": "200" },{ "birthday": "01011970", "gender": "m", "name": "Mary Meh", "natid": "300000003", "salary": "2000", "tax": "50" }]
TC014;Invalid multiple insertion without salary;http://localhost:8080/calculator/insertMultiple;[{ "birthday": "01012002", "gender": "m", "name": "John Smith", "natid": "100000001", "tax": "100" },{ "birthday": "01011985", "gender": "f", "name": "Jane Joe", "natid": "200000002", "salary": "4500", "tax": "200" },{ "birthday": "01011970", "gender": "m", "name": "Mary Meh", "natid": "300000003", "salary": "2000", "tax": "50" }]
TC015;Invalid multiple insertion without tax;http://localhost:8080/calculator/insertMultiple;[{ "birthday": "01012002", "gender": "m", "name": "John Smith", "natid": "100000001", "salary": "4000"},{ "birthday": "01011985", "gender": "f", "name": "Jane Joe", "natid": "200000002", "salary": "4500", "tax": "200" },{ "birthday": "01011970", "gender": "m", "name": "Mary Meh", "natid": "300000003", "salary": "2000", "tax": "50" }]
TC016;Invalid multiple insertion with invalid date;http://localhost:8080/calculator/insertMultiple;[{ "birthday": "01 Jan 2002", "gender": "m", "name": "John Smith", "natid": "100000001", "salary": "4000", "tax": "100" },{ "birthday": "01011985", "gender": "f", "name": "Jane Joe", "natid": "200000002", "salary": "4500", "tax": "200" }]
